No.	Accession	Taxon name
1	CL_CYGX01.1	Paraburkholderia ribeironis
2	CL_LN879430.1	Herbinix luporum
3	GCA_000006685.1	Chlamydia muridarum
4	GCA_000006985.1	Chlorobaculum tepidum
5	GCA_000007025.1	Rickettsia conorii
6	GCA_000007085.1	Caldanaerobacter subterraneus subsp. tengcongensis
7	GCA_000007105.1	Zymomonas mobilis subsp. mobilis
8	GCA_000007145.1	Xanthomonas campestris
9	GCA_000007205.1	Chlamydia pneumoniae
10	GCA_000007325.1	Fusobacterium nucleatum subsp. nucleatum
11	GCA_000007485.1	Tropheryma whipplei
12	GCA_000007505.1	Brucella suis
13	GCA_000007605.1	Chlamydia caviae
14	GCA_000007705.1	Chromobacterium violaceum
15	GCA_000007825.1	Bacillus cereus
16	GCA_000007985.2	Geobacter sulfurreducens subsp. sulfurreducens
17	GCA_000008045.1	Rickettsia typhi
18	GCA_000008185.1	Treponema denticola
19	GCA_000008205.1	Mesomycoplasma hyopneumoniae
20	GCA_000008305.1	Mesoplasma florum
21	GCA_000008365.1	Mycoplasma mobile
22	GCA_000008425.1	Bacillus licheniformis
23	GCA_000008465.1	Idiomarina loihiensis
24	GCA_000008485.1	Legionella pneumophila subsp. pneumophila
25	GCA_000008685.2	Borreliella burgdorferi
26	GCA_000008765.1	Clostridium acetobutylicum
27	GCA_000009365.1	Alcanivorax borkumensis
28	GCA_000009625.1	Mesorhizobium japonicum
29	GCA_000009765.2	Streptomyces avermitilis
30	GCA_000010005.1	Lactobacillus reuteri
31	GCA_000010305.1	Gemmatimonas aurantiaca
32	GCA_000010425.1	Bifidobacterium adolescentis
33	GCA_000010505.1	Porphyromonas gingivalis
34	GCA_000010525.1	Azorhizobium caulinodans
35	GCA_000010565.1	Pelotomaculum thermopropionicum
36	GCA_000010665.1	Desulfovibrio magneticus
37	GCA_000010785.1	Hydrogenobacter thermophilus
38	GCA_000011065.1	Bacteroides thetaiotaomicron
39	GCA_000011245.1	Oceanobacillus iheyensis
40	GCA_000011305.1	Corynebacterium efficiens
41	GCA_000011325.1	Corynebacterium glutamicum
42	GCA_000011365.1	Bradyrhizobium diazoefficiens
43	GCA_000011445.1	Mycoplasma mycoides subsp. mycoides
44	GCA_000011705.1	Burkholderia mallei
45	GCA_000011965.2	Ruegeria pomeroyi
46	GCA_000012125.1	Chlamydia trachomatis
47	GCA_000012145.1	Rickettsia felis
48	GCA_000012305.1	Psychrobacter arcticus
49	GCA_000012385.1	Rickettsia bellii
50	GCA_000012485.1	Chlorobium luteolum
51	GCA_000012585.1	Chlorobium chlorochromatii
52	GCA_000012725.1	Nitrobacter winogradskyi
53	GCA_000012765.1	Mycoplasma capricolum subsp. capricolum
54	GCA_000012805.1	Nitrosococcus oceani
55	GCA_000012825.1	Bacteroides vulgatus
56	GCA_000012845.1	Parabacteroides distasonis
57	GCA_000012865.1	Carboxydothermus hydrogenoformans
58	GCA_000012885.1	Pelobacter carbinolicus
59	GCA_000012925.1	Geobacter metallireducens
60	GCA_000012945.1	Burkholderia lata
61	GCA_000012965.1	Sulfurimonas denitrificans
62	GCA_000012985.1	Hahella chejuensis
63	GCA_000013025.1	Hyphomonas neptunium
64	GCA_000013045.1	Salinibacter ruber
65	GCA_000013145.1	Ehrlichia chaffeensis
66	GCA_000013165.1	Neorickettsia sennetsu
67	GCA_000013285.1	Clostridium perfringens
68	GCA_000013325.1	Novosphingobium aromaticivorans
69	GCA_000013345.1	Frankia casuarinae
70	GCA_000013405.1	Syntrophus aciditrophicus
71	GCA_000013645.1	Paraburkholderia xenovorans
72	GCA_000013705.1	Methylobacillus flagellatus
73	GCA_000013765.1	Shewanella denitrificans
74	GCA_000013905.1	Psychrobacter cryohalolentis
75	GCA_000013985.1	Sphingopyxis alaskensis
76	GCA_000014045.1	Roseobacter denitrificans
77	GCA_000014145.1	Cytophaga hutchinsonii
78	GCA_000014185.1	Rubrobacter xylanophilus
79	GCA_000014425.1	Lactobacillus gasseri
80	GCA_000014445.1	Leuconostoc mesenteroides subsp. mesenteroides
81	GCA_000014645.1	Francisella tularensis subsp. novicida
82	GCA_000014725.1	Syntrophomonas wolfei subsp. wolfei
83	GCA_000014785.1	Alkalilimnicola ehrlichii
84	GCA_000014805.1	Aeromonas hydrophila subsp. hydrophila
85	GCA_000014885.1	Shewanella piezotolerans
86	GCA_000015025.1	Acidothermus cellulolyticus
87	GCA_000015045.1	Pelobacter propionicus
88	GCA_000015125.1	Chlorobium phaeobacteroides
89	GCA_000015245.1	Shewanella amazonensis
90	GCA_000015285.1	Psychromonas ingrahamii
91	GCA_000015445.1	Bartonella bacilliformis
92	GCA_000015505.1	Polaromonas naphthalenivorans
93	GCA_000015585.1	Halorhodospira halophila
94	GCA_000015865.1	Hungateiclostridium thermocellum
95	GCA_000016065.1	Shewanella loihica
96	GCA_000016165.1	Desulfotomaculum reducens
97	GCA_000016345.1	Polynucleobacter asymbioticus
98	GCA_000016425.1	Salinispora tropica
99	GCA_000016505.1	Clostridium kluyveri
100	GCA_000016545.1	Caldicellulosiruptor saccharolyticus
101	GCA_000016645.1	Flavobacterium johnsoniae
102	GCA_000016745.1	Geobacter uraniireducens
103	GCA_000016765.1	Sphingomonas wittichii
104	GCA_000016845.1	Brucella ovis
105	GCA_000016905.1	Thermosipho melanesiensis
106	GCA_000016985.1	Alkaliphilus metalliredigens
107	GCA_000017145.1	Ensifer medicae
108	GCA_000017265.1	Phenylobacterium zucineum
109	GCA_000017305.1	Kineococcus radiotolerans
110	GCA_000017405.1	Ochrobactrum anthropi
111	GCA_000017425.1	Bacillus cytotoxicus
112	GCA_000017545.1	Fervidobacterium nodosum
113	GCA_000017585.1	Campylobacter hominis
114	GCA_000017685.1	Leptospira biflexa
115	GCA_000017865.1	Pseudothermotoga lettingae
116	GCA_000018025.1	Shewanella sediminis
117	GCA_000018285.1	Shewanella pealeana
118	GCA_000018325.1	Alkaliphilus oremlandii
119	GCA_000018525.1	Brucella canis
120	GCA_000018565.1	Herpetosiphon aurantiacus
121	GCA_000018605.1	Petrotoga mobilis
122	GCA_000018785.1	Acholeplasma laidlawii
123	GCA_000018865.1	Chloroflexus aurantiacus
124	GCA_000018885.1	Renibacterium salmoninarum
125	GCA_000018925.1	Francisella tularensis subsp. mediasiatica
126	GCA_000018945.1	Thermotoga neapolitana
127	GCA_000019085.1	Thermoanaerobacter pseudethanolicus
128	GCA_000019185.1	Shewanella halifaxensis
129	GCA_000019345.1	Ureaplasma parvum
130	GCA_000019525.1	Shewanella woodyi
131	GCA_000019725.1	Methylobacterium radiotolerans
132	GCA_000019845.1	Beijerinckia indica subsp. indica
133	GCA_000019905.1	Exiguobacterium sibiricum
134	GCA_000019945.1	Methylorubrum populi
135	GCA_000020005.1	Natranaerobius thermophilus
136	GCA_000020045.1	Paraburkholderia phymatum
137	GCA_000020125.1	Paraburkholderia phytofirmans
138	GCA_000020225.1	Akkermansia muciniphila
139	GCA_000020365.1	Desulfobacterium autotrophicum
140	GCA_000020385.1	Geobacter lovleyi
141	GCA_000020425.1	Bifidobacterium longum subsp. infantis
142	GCA_000020465.1	Chlorobium limicola
143	GCA_000020505.1	Chlorobaculum parvum
144	GCA_000020585.3	Alteromonas mediterranea
145	GCA_000020605.1	Agathobacter rectalis
146	GCA_000020645.1	Chlorobium clathratiforme
147	GCA_000020685.1	Deinococcus deserti
148	GCA_000020725.1	Geobacter bemidjiensis
149	GCA_000020945.1	Coprothermobacter proteolyticus
150	GCA_000020965.1	Dictyoglomus thermophilum
151	GCA_000020985.1	Thermodesulfovibrio yellowstonii
152	GCA_000021325.1	Gluconacetobacter diazotrophicus
153	GCA_000021365.1	Oligotropha carboxidovorans
154	GCA_000021485.1	Acidithiobacillus ferrooxidans
155	GCA_000021545.1	Sulfurihydrogenibium azorense
156	GCA_000021565.1	Persephonella marina
157	GCA_000021925.1	Desulfitobacterium hafniense
158	GCA_000021945.1	Chloroflexus aggregans
159	GCA_000021985.1	Thioalkalivibrio sulfidiphilus
160	GCA_000022025.1	Pseudarthrobacter chlorophenolicus
161	GCA_000022065.1	Ruminiclostridium cellulolyticum
162	GCA_000022085.1	Methylobacterium nodulans
163	GCA_000022265.1	Geobacter daltonii
164	GCA_000022325.1	Caldicellulosiruptor bescii
165	GCA_000022565.1	Acidobacterium capsulatum
166	GCA_000022745.1	Brucella microti
167	GCA_000022965.1	Bifidobacterium animalis subsp. lactis
168	GCA_000023005.1	Rickettsia africae
169	GCA_000023065.1	Tolumonas auensis
170	GCA_000023105.1	Beutenbergia cavernae
171	GCA_000023125.1	Dyadobacter fermentans
172	GCA_000023145.1	Corynebacterium kroppenstedtii
173	GCA_000023225.1	Desulfomicrobium baculatum
174	GCA_000023245.1	Actinosynnema mirum
175	GCA_000023265.1	Acidimicrobium ferrooxidans
176	GCA_000023285.1	Capnocytophaga ochracea
177	GCA_000023325.1	Kosmotoga olearia
178	GCA_000023405.1	Brachybacterium faecium
179	GCA_000023445.1	Desulfovibrio salexigens
180	GCA_000023465.1	Zunongwangia profunda
181	GCA_000023705.1	Methylotenera mobilis
182	GCA_000023785.1	Hirschia baltica
183	GCA_000023825.1	Pedobacter heparinus
184	GCA_000023845.1	Cryptobacterium curtum
185	GCA_000023865.1	Saccharomonospora viridis
186	GCA_000023885.1	Slackia heliotrinireducens
187	GCA_000023905.1	Leptotrichia buccalis
188	GCA_000023925.1	Kytococcus sedentarius
189	GCA_000024005.1	Chitinophaga pinensis
190	GCA_000024025.1	Catenulispora acidiphila
191	GCA_000024065.1	Jonesia denitrificans
192	GCA_000024085.1	Kangiella koreensis
193	GCA_000024105.1	Anaerococcus prevotii
194	GCA_000024125.1	Robiginitalea biformata
195	GCA_000024205.1	Desulfofarcimen acetoxidans
196	GCA_000024225.1	Lancefieldella parvula
197	GCA_000024265.1	Eggerthella lenta
198	GCA_000024285.1	Alicyclobacillus acidocaldarius subsp. acidocaldarius
199	GCA_000024345.1	Kribbella flavida
200	GCA_000024365.1	Nakamurella multipartita
201	GCA_000024385.1	Thermomonospora curvata
202	GCA_000024525.1	Spirosoma linguale
203	GCA_000024545.1	Stackebrandtia nassauensis
204	GCA_000024565.1	Streptobacillus moniliformis
205	GCA_000024605.1	Ammonifex degensii
206	GCA_000024725.1	Nitrosococcus halophilus
207	GCA_000024785.1	Gordonia bronchialis
208	GCA_000024845.1	Rhodothermus marinus
209	GCA_000024865.1	Streptosporangium roseum
210	GCA_000024885.1	Sulfurospirillum deleyianum
211	GCA_000024905.1	Thermanaerovibrio acidaminovorans
212	GCA_000024925.1	Sanguibacter keddieii
213	GCA_000024945.1	Veillonella parvula
214	GCA_000024965.1	Xylanimonas cellulosilytica
215	GCA_000025105.1	Thermotoga naphthophila
216	GCA_000025265.1	Conexibacter woesei
217	GCA_000025305.1	Acidaminococcus fermentans
218	GCA_000025345.1	Geodermatophilus obscurus
219	GCA_000025485.1	Allochromatium vinosum
220	GCA_000025565.1	Enterobacter cloacae subsp. cloacae
221	GCA_000025605.1	Thermocrinis albus
222	GCA_000025645.1	Thermoanaerobacter italicus
223	GCA_000025845.1	Mycoplasma crocodyli
224	GCA_000025885.1	Aminobacterium colombiense
225	GCA_000025905.1	Coraliomargarita akajimensis
226	GCA_000025925.1	Prevotella ruminicola
227	GCA_000025965.1	Aromatoleum aromaticum
228	GCA_000025985.1	Bacteroides fragilis
229	GCA_000026105.1	Pseudomonas entomophila
230	GCA_000026125.1	Herminiimonas arsenicoxydans
231	GCA_000026185.1	Erwinia tasmaniensis
232	GCA_000026225.1	Escherichia fergusonii
233	GCA_000026765.1	Mesomycoplasma conjunctivae
234	GCA_000026985.1	Erwinia pyrifoliae
235	GCA_000027065.2	Cronobacter turicensis
236	GCA_000027145.1	Listeria seeligeri
237	GCA_000027325.1	Mycoplasmoides genitalium
238	GCA_000046705.1	Bartonella henselae
239	GCA_000050425.1	Ehrlichia ruminantium
240	GCA_000055785.1	Chromohalobacter salexigens
241	GCA_000056065.1	Lactobacillus delbrueckii subsp. bulgaricus
242	GCA_000058485.1	Frankia alni
243	GCA_000060345.1	Gramella forsetii
244	GCA_000062885.1	Saccharopolyspora erythraea
245	GCA_000063605.1	Mycoplasmopsis agalactiae
246	GCA_000067205.1	Bordetella petrii
247	GCA_000069185.1	Mycobacteroides abscessus subsp. abscessus
248	GCA_000069225.1	Clavibacter sepedonicus
249	GCA_000069785.1	Cupriavidus taiwanensis
250	GCA_000085865.1	Metamycoplasma hominis
251	GCA_000091325.1	Shewanella violacea
252	GCA_000091545.1	Thermus thermophilus
253	GCA_000092025.1	Agrobacterium fabrum
254	GCA_000092045.1	Rhizobium etli
255	GCA_000092125.1	Meiothermus silvanus
256	GCA_000092225.1	Tsukamurella paurometabola
257	GCA_000092245.1	Arcobacter nitrofigilis
258	GCA_000092365.1	Arcanobacterium haemolyticum
259	GCA_000092385.1	Streptomyces bingchenggensis
260	GCA_000092505.1	Leuconostoc kimchii
261	GCA_000092645.1	Thermobispora bispora
262	GCA_000092825.1	Segniliparus rotundus
263	GCA_000092845.1	Brachyspira murdochii
264	GCA_000092865.1	Cellulomonas flavigena
265	GCA_000092905.1	Kyrpidia tusciae
266	GCA_000092965.1	Thermoanaerobacter mathranii subsp. mathranii
267	GCA_000092985.1	Nocardiopsis dassonvillei subsp. dassonvillei
268	GCA_000093085.1	Bacillus selenitireducens
269	GCA_000143085.1	Nitrosococcus watsonii
270	GCA_000143145.1	Hyphomicrobium denitrificans
271	GCA_000143165.1	Dehalogenimonas lykanthroporepellens
272	GCA_000143685.1	Clostridium ljungdahlii
273	GCA_000143785.1	Chryseobacterium gleum
274	GCA_000143825.1	Corynebacterium genitalium
275	GCA_000143845.1	Olsenella uli
276	GCA_000143985.1	Sediminispirochaeta smaragdinae
277	GCA_000144405.1	Prevotella melaninogenica
278	GCA_000144605.1	Brevundimonas subvibrioides
279	GCA_000144625.1	Clostridium saccharolyticum
280	GCA_000145035.1	Butyrivibrio proteoclasticus
281	GCA_000145215.1	Caldicellulosiruptor obsidiansis
282	GCA_000145235.1	Micromonospora aurantiaca
283	GCA_000145275.1	Clostridium cellulovorans
284	GCA_000145615.1	Thermoanaerobacterium thermosaccharolyticum
285	GCA_000146165.2	Shewanella oneidensis
286	GCA_000146185.1	Eubacterium eligens
287	GCA_000146325.1	Pediococcus acidilactici
288	GCA_000146345.1	Peptoniphilus duerdenii
289	GCA_000146505.1	Fibrobacter succinogenes subsp. succinogenes
290	GCA_000146675.1	Prevotella marshii
291	GCA_000146855.1	Eubacterium yurii subsp. margaretiae
292	GCA_000147355.1	Sulfurimonas autotrophica
293	GCA_000147675.2	Peptostreptococcus stomatis
294	GCA_000147695.3	Thermoanaerobacter wiegelii
295	GCA_000148465.1	Streptomyces clavuligerus
296	GCA_000148645.1	Ferrimonas balearica
297	GCA_000148995.1	Listeria grayi
298	GCA_000152625.1	Roseovarius nubinhibens
299	GCA_000152725.1	Pseudooceanicola batsensis
300	GCA_000152825.2	Parvularcula bermudensis
301	GCA_000152885.1	Idiomarina baltica
302	GCA_000152985.1	Leeuwenhoekiella blandensis
303	GCA_000153025.1	Marinomonas blandensis
304	GCA_000153185.1	Reinekea blandensis
305	GCA_000153225.1	Polaribacter irgensii
306	GCA_000153305.1	Oceanicola granulosus
307	GCA_000153345.1	Neptuniibacter caesariensis
308	GCA_000153485.2	Psychroflexus torquis
309	GCA_000153705.1	Fulvimarina pelagi
310	GCA_000153725.1	Salipiger bermudensis
311	GCA_000153765.1	Mariprofundus ferrooxydans
312	GCA_000153885.1	Eubacterium ventriosum
313	GCA_000153905.1	Blautia obeum
314	GCA_000153925.1	Ruminococcus torques
315	GCA_000154205.1	Bacteroides uniformis
316	GCA_000154305.1	Anaerostipes caccae
317	GCA_000154345.1	Clostridium leptum
318	GCA_000154465.1	Alistipes putredinis
319	GCA_000154485.1	Clostridium ramosum
320	GCA_000154525.1	Bacteroides stercoris
321	GCA_000154565.1	Anaerotruncus colihominis
322	GCA_000154705.2	Hoeflea phototrophica
323	GCA_000154725.1	Kordia algicida
324	GCA_000154805.1	Clostridium spiroforme
325	GCA_000154845.1	Bacteroides coprocola
326	GCA_000155105.1	Escherichia albertii
327	GCA_000155205.1	Ruminococcus lactaris
328	GCA_000155675.2	Octadecabacter antarcticus
329	GCA_000155735.2	Octadecabacter arcticus
330	GCA_000155875.1	Coprococcus comes
331	GCA_000155955.1	Mitsuokella multacida
332	GCA_000156055.1	Clostridium hiranonis
333	GCA_000156075.1	Bacteroides dorei
334	GCA_000156175.1	Collinsella intestinalis
335	GCA_000156195.1	Bacteroides finegoldii
336	GCA_000156215.1	Collinsella stercoris
337	GCA_000156355.1	Methylophaga thiooxydans
338	GCA_000156375.1	Desulfovibrio piger
339	GCA_000156495.1	Parabacteroides johnsonii
340	GCA_000156515.1	Clostridium hylemonae
341	GCA_000156575.1	Anaerococcus lactolyticus
342	GCA_000157895.2	Mycobacterium kansasii
343	GCA_000157915.1	Bacteroides coprophilus
344	GCA_000157935.1	Prevotella copri
345	GCA_000157955.1	Subdoligranulum variabile
346	GCA_000157975.1	Blautia hydrogenotrophica
347	GCA_000158035.1	Bacteroides cellulosilyticus
348	GCA_000158075.1	Clostridium asparagiforme
